id,domain_code,domain_title,dai_code,dai_title,chu_code,chu_title,sho_code,sho_title,remarks,source_pdf,source_page
H-1-ア-a,hisshu,必修,1,医の倫理と歯科医師のプロフェッショナリズム,ア,医の倫理,a,患者の人権と医療,,000920684.pdf,3
H-1-ア-b,hisshu,必修,1,医の倫理と歯科医師のプロフェッショナリズム,ア,医の倫理,b,医療者の倫理（ニュルンベルグ綱領、ジュネーブ宣言など）,,000920684.pdf,3
H-1-イ-a,hisshu,必修,1,医の倫理と歯科医師のプロフェッショナリズム,イ,歯科医師と患者・家族との関係,a,患者中心の歯科医療（インフォームド・コンセント、セカンドオピニオンなど）,,000920684.pdf,3
H-1-イ-b,hisshu,必修,1,医の倫理と歯科医師のプロフェッショナリズム,イ,歯科医師と患者・家族との関係,b,患者の権利,,000920684.pdf,3
H-2-ア-a,hisshu,必修,2,社会と歯科医療,ア,患者・障害者のもつ心理社会的問題と背景,a,疾病・障害の概念・構造（社会的関わり）,,000920684.pdf,3
H-2-ア-b,hisshu,必修,2,社会と歯科医療,ア,患者・障害者のもつ心理社会的問題と背景,b,リハビリテーションの理念,,000920684.pdf,3
H-2-ア-c,hisshu,必修,2,社会と歯科医療,ア,患者・障害者のもつ心理社会的問題と背景,c,ノーマライゼーションの理念,,000920684.pdf,3
H-2-ア-d,hisshu,必修,2,社会と歯科医療,ア,患者・障害者のもつ心理社会的問題と背景,d,国際生活機能分類〈ICF〉,,000920684.pdf,3
H-2-ア-e,hisshu,必修,2,社会と歯科医療,ア,患者・障害者のもつ心理社会的問題と背景,e,健康格差、健康の社会的決定要因,,000920684.pdf,3
H-2-イ-a,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,a,歯科医師法、歯科衛生士法、歯科技工士法,,000920684.pdf,3
H-2-イ-b,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,b,医療法,,000920684.pdf,3
H-2-イ-c,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,c,介護保険法,,000920684.pdf,3
H-2-イ-d,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,d,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律,,000920684.pdf,3
H-2-イ-e,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,e,保健・医療・福祉・介護の各制度と職種,,000920684.pdf,3
H-2-イ-f,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,f,地域包括ケアシステム,,000920684.pdf,3
H-2-イ-g,hisshu,必修,2,社会と歯科医療,イ,保健・医療・福祉・介護の制度と医療経済,g,国民医療費,,000920684.pdf,3
H-2-ウ-a,hisshu,必修,2,社会と歯科医療,ウ,チーム医療,a,チーム医療の意義（多職種連携、医科歯科連携、病診連携を含む）,,000920684.pdf,3
H-2-ウ-b,hisshu,必修,2,社会と歯科医療,ウ,チーム医療,b,医療チームの構成員と役割,,000920684.pdf,3
H-2-ウ-c,hisshu,必修,2,社会と歯科医療,ウ,チーム医療,c,チーム医療における歯科の役割（かかりつけ歯科医、在宅医療、歯科訪問診療）,,000920684.pdf,3
H-2-ウ-d,hisshu,必修,2,社会と歯科医療,ウ,チーム医療,d,情報提供,,000920684.pdf,3
H-2-エ-a,hisshu,必修,2,社会と歯科医療,エ,臨床試験・治験と倫理,a,人を対象とする生命科学・医学系研究に関する倫理指針,,000920684.pdf,3
H-2-エ-b,hisshu,必修,2,社会と歯科医療,エ,臨床試験・治験と倫理,b,医薬品の臨床試験の実施の基準〈GCP〉,,000920684.pdf,3
H-2-オ-a,hisshu,必修,2,社会と歯科医療,オ,医療の質の確保,a,患者満足度,,000920684.pdf,3
H-2-オ-b,hisshu,必修,2,社会と歯科医療,オ,医療の質の確保,b,患者説明文書、同意書,,000920684.pdf,3
H-2-オ-c,hisshu,必修,2,社会と歯科医療,オ,医療の質の確保,c,クリニカルパス,,000920684.pdf,3
H-2-カ-a,hisshu,必修,2,社会と歯科医療,カ,医療事故の防止,a,医療事故と医療過誤,,000920684.pdf,3
